Date,ALR_open,ALR_high,ALR_low,ALR_close,ALR_volume
2020-03-02,22.06,23.08,21.8,22.42,1054344
2020-03-03,22.96,23.8,22.52,23.5,561884
2020-03-04,23.38,23.46,22.9,23.02,588945
2020-03-05,23.5,23.52,22.02,22.28,831914
2020-03-06,21.94,21.96,20.46,20.58,963071
2020-03-09,18.74,19.8,17.92,18.15,960863
2020-03-10,18.52,19.1,18.2,18.49,822098
2020-03-11,18.8,18.8,16.44,16.65,928231
2020-03-12,15.85,15.9,13.34,13.34,994367
2020-03-13,13.45,15.06,13,13.91,1316262
2020-03-16,13.9,13.9,12.37,13.15,965147
2020-03-17,13.18,14.16,12.73,14.04,839399
2020-03-18,13.7,15.07,13.51,14,1040611
2020-03-19,14.36,14.98,14.21,14.58,704733
2020-03-20,15.09,15.63,14.02,14.47,1603968
2020-03-23,13.99,13.99,13.1,13.38,810768
2020-03-24,14.1,14.2,12.9,13.15,1284363
2020-03-25,13.64,13.75,12.7,13,1015259
2020-03-26,12.8,13.38,12.8,13.24,789274
2020-03-27,13.3,13.45,12.76,13,866516
2020-03-30,13.03,13.1,12.62,12.91,411087
2020-03-31,13.06,13.24,12.62,12.88,854838
2020-04-01,12.78,12.86,12.275,12.37,1024242
2020-04-02,12.585,12.585,11.8,11.86,1940411
2020-04-03,12,12,11.4,11.75,986099
2020-04-06,12.4,12.84,12.18,12.74,1343638
2020-04-07,13.3,14.99,13.12,14.77,2683015
2020-04-08,14.78,14.98,12.72,13.995,4043879
2020-04-09,14.2,14.87,13.94,14.8,1231774
2020-04-14,15.4,16.94,15.2,16.92,2079878
2020-04-15,16.93,17.165,15.38,16.45,2399764
2020-04-16,16.9,16.9,15.61,15.89,1352161
2020-04-17,15.9,16.16,15.5,15.6,1474539
2020-04-20,15.74,15.775,14.67,15.03,1269271
2020-04-21,14.68,14.83,13.74,13.85,1368482
2020-04-22,14,14.48,13.25,14.38,1139400
2020-04-23,14.57,15.17,14.44,15.17,1140811
2020-04-24,14.875,14.995,14.22,14.22,1194776
2020-04-27,14.625,14.8,13.655,14.325,810162
2020-04-28,14,14.7,13.81,14.14,571103
2020-04-29,14.35,14.99,14.095,14.99,932495
2020-04-30,15.01,15.8,14.6,15.07,1158707
2020-05-04,14.71,14.895,14.42,14.5,587929
2020-05-05,14.88,14.9,13.9,14.05,938202
2020-05-06,14.68,14.7,13.7,13.86,862154
2020-05-07,14.05,14.25,13.5,14.01,554674
2020-05-08,14.03,14.36,13.835,13.94,361971
2020-05-11,13.995,14,13.6,13.7,444177
2020-05-12,13.67,14.05,13.35,14.03,671842
2020-05-13,13.84,14.235,13.7,13.885,429781
2020-05-14,13.68,13.8,13.01,13.225,1119707
2020-05-15,13.355,13.55,13.02,13.2,442214
2020-05-18,13.48,13.63,13.11,13.59,422472
2020-05-19,13.77,13.78,13.445,13.65,333857
2020-05-20,13.5,13.74,13.4,13.685,357421
2020-05-21,13.5,14.06,13.46,13.9,552733
2020-05-22,13.65,13.78,13.43,13.435,665697
2020-05-25,13.595,13.63,13.2,13.395,535905
2020-05-26,13.51,14.65,13.5,14.6,1474589
2020-05-27,14.85,16.15,14.79,14.965,2126218
2020-05-28,15.31,16.05,14.1,14.51,3495381
2020-05-29,14.38,14.385,13.98,14.315,1526457
2020-06-01,14.6,15.015,14.31,14.765,955247
2020-06-02,14.8,15.35,14.695,15.19,1305333
2020-06-03,15.31,15.92,15.255,15.7,963841
2020-06-04,15.78,17.17,15.4,16.95,1840206
2020-06-05,17.4,18.4,17.1,17.815,3291825
2020-06-08,18.35,18.6,17.35,18.08,2119649
2020-06-09,18.07,18.3,17.4,17.73,1065500
2020-06-10,17.9,18.23,17.2,17.715,814715
2020-06-12,16.7,18.78,16.23,18.49,3225439
2020-06-15,17.97,18.08,17.335,17.45,1324565
2020-06-16,18.09,18.44,18,18.05,1024009
2020-06-17,18.1,18.28,17.83,17.98,735038
2020-06-18,17.73,17.975,17.5,17.6,735016
2020-06-19,17.9,17.95,17.615,17.725,634917
2020-06-22,17.7,17.75,17.28,17.38,417756
2020-06-23,17.5,17.905,17.31,17.4,995431
2020-06-24,17.535,17.6,16.72,16.89,855850
2020-06-25,16.8,16.98,16.41,16.85,585353
2020-06-26,16.92,16.98,16.4,16.4,668236
2020-06-29,16.31,16.49,15.585,16.28,1133543
2020-06-30,16.59,16.59,16.1,16.15,532935
