,Date,ALR_open,ALR_high,ALR_low,ALR_close,ALR_volume,MBK_open,MBK_high,MBK_low,MBK_close,MBK_volume,PEO_open,PEO_high,PEO_low,PEO_close,PEO_volume,PKO_open,PKO_high,PKO_low,PKO_close,PKO_volume,SPL_open,SPL_high,SPL_low,SPL_close,SPL_volume,ALR_traded,MBK_traded,PEO_traded,PKO_traded,SPL_traded
0,2020-03-02,22.06,23.08,21.8,22.42,1054344,304.0,307.0,288.2,296.8,40944,89.9,92.72,87.16,89.26,756361,32.33,32.55,31.32,32.35,3913456,260.4,261.8,252.0,260.0,108224,23258828.639999997,12446976.0,67996853.9,126522032.47999999,28181529.599999998
1,2020-03-03,22.96,23.8,22.52,23.5,561884,305.0,335.4,298.2,330.4,25817,90.2,95.28,90.02,94.78,998119,32.65,33.78,32.55,33.1,4036412,260.0,279.0,258.0,272.2,112138,12900856.64,7874185.0,90030333.8,131788851.8,29155880.0
2,2020-03-04,23.38,23.46,22.9,23.02,588945,331.0,331.0,314.0,317.2,29914,94.4,95.88,93.4,94.14,527940,33.0,33.36,32.51,32.56,2754026,268.0,276.4,268.0,274.0,53365,13769534.1,9901534.0,49837536.0,90882858.0,14301820.0
3,2020-03-05,23.5,23.52,22.02,22.28,831914,325.0,325.0,306.0,309.2,13766,95.32,95.74,92.66,92.9,515614,32.75,33.06,31.64,31.64,2759371,270.0,276.4,265.2,266.8,58814,19549979.0,4473950.0,49148326.48,90369400.25,15879780.0
4,2020-03-06,21.94,21.96,20.46,20.58,963071,300.6,305.0,295.0,301.8,21850,91.9,92.4,88.82,89.68,940230,31.33,31.71,30.37,30.62,2964149,261.4,263.4,248.0,252.2,74158,21129777.740000002,6568110.000000001,86407137.0,92866788.17,19384901.2
5,2020-03-09,18.74,19.8,17.92,18.15,960863,296.6,296.6,263.6,263.6,28741,85.0,86.0,80.54,82.3,833133,29.0,29.46,27.45,27.72,3523517,240.6,242.0,222.8,228.0,121099,18006572.619999997,8524580.600000001,70816305.0,102181993.0,29136419.4
6,2020-03-10,18.52,19.1,18.2,18.49,822098,263.6,268.8,241.4,243.8,30397,83.0,83.98,80.0,80.26,757085,28.1,28.76,27.32,27.92,3821020,228.0,232.4,217.6,221.4,81951,15225254.959999999,8012649.200000001,62838055.0,107370662.0,18684828.0
7,2020-03-11,18.8,18.8,16.44,16.65,928231,255.6,255.6,225.0,229.6,41848,81.44,81.86,75.02,75.24,1026635,28.11,28.31,26.31,26.63,2961506,221.4,225.0,205.8,208.6,78601,17450742.8,10696348.799999999,83609154.39999999,83247933.66,17402261.400000002
8,2020-03-12,15.85,15.9,13.34,13.34,994367,213.0,217.6,192.1,192.1,38145,70.0,70.24,60.5,60.5,1041792,25.5,25.5,23.18,23.18,3752953,193.3,194.9,172.1,172.1,101018,15760716.95,8124885.0,72925440.0,95700301.5,19526779.400000002
9,2020-03-13,13.45,15.06,13.0,13.91,1316262,208.0,212.8,186.5,208.4,78690,62.5,67.32,61.0,63.68,2007479,23.99,25.37,23.1,23.5,6764837,177.0,191.3,164.7,186.5,190412,17703723.9,16367520.0,125467437.5,162288439.63,33702924.0
10,2020-03-16,13.9,13.9,12.37,13.15,965147,210.0,218.8,188.0,198.2,56682,61.0,61.0,54.9,55.76,1552789,22.94,23.11,20.3,21.5,6971289,180.0,180.0,157.1,168.2,187423,13415543.3,11903220.0,94720129.0,159921369.66,33736140.0
11,2020-03-17,13.18,14.16,12.73,14.04,839399,208.4,241.6,200.0,233.4,52285,57.78,60.38,52.8,55.94,2193015,22.24,22.87,21.01,22.1,7318962,170.0,205.6,170.0,195.6,163734,11063278.82,10896194.0,126712406.7,162773714.88,27834780.0
